Sr. no,Caption,Rating
1,Being an adult is like folding a fitted sheet. No one really knows how.,
2,An apple a day will keep anyone away if you throw it hard enough.,
3,I am not feeling lazy. I am just incredibly motivated to do nothing.,
4,"Today, I will be as useless as the letter ‘g’ in lasagna.",
5,I was going to take over the world this morning but I overslept. Postponed. Again,
6,Opportunity is missed by most people because it is dressed in overalls and looks like work. – Thomas Edison,
7,Behind every great man is a woman rolling her eyes. – Jim Carrey,
8,The difference between genius and stupidity is that genius has its limits. – Albert Einstein,
9,"Too many people spend money they haven’t earned, to buy things they don’t want, to impress people they don’t like. – Will Smith",
10,"Never follow someone else’s path; unless you’re in the woods and you’re lost, and you see a path, then, by all means, you should follow that. – Ellen De Generes",
11,"Life is like a balloon. If you never let go, you will not know how high you can rise.",
12,Do more things that make you forget to check your phone.,
13,"Having a soft heart in a cruel world is courage, not weakness.",
14,Aspire to inspire before you expire.,
15,Be happy. It drives people crazy.,
16,"If you obey all the rules, you’ll miss all the fun.",
17,"If I agreed with you, we’d both be wrong.",
18,Please don’t interrupt me when I am ignoring you.,
19,I am only responsible for the words that come out of my mouth. I am not responsible for you not understanding them.,
20,"Hustle, until your haters ask if you’re hiring.",
21,"I fear not the man who has practiced 10,000 kicks once, but I fear the man who has practiced one kick 10,000 times. – Bruce Lee",
22,The difference between what you are and what you want to be is the effort you put.,
23,"Everything you see around you started as an idea, just like the one you are trying so hard to ignore.",
24,I use criticism to know how far I have left my enemies behind.,
25,"Success to a man is not a destination, it is a journey to improve his condition every day.",
26,The last three or four reps is what makes the muscle grow. This area of pain divides the champion from someone else who is not a champion. – Arnold Schwarzenegger,
27,"Smile, because it confuses people. It’s easier than explaining to people what is killing you from inside.",
28,"If success could talk, it would tell of the sleepless nights and long hours.",
29,"Be a Game changer, the world is already full of players.",
30,"It’s lonely at the top, that’s why a Lambo has 2 seats, and a bus has 50.",
31,Be careful of what you tolerate. You are teaching people how to treat you.,
32,Don’t wear a brand. Be a brand.,
33,Dress like you own a bank not like you need a loan from it.,
34,A champion is someone who gets up when he can’t.,
35,Eagles don’t take flight lessons from chickens.,
36,"Dress like you’ve made something of yourself, even if you haven’t.",
37,"Clothes don’t make a man, but clothes have got many man a good job. – Herbert Harold Vreeland",
38,"Be picky with your clothes, friends and time.",
39,Dress as If you’re already famous!,
40,Work until you no longer have to introduce yourself. – Keanu Reeves,
41,"My goals don’t stop for anyone. Either you support me, or I make it alone. Either way, it’s going to happen.",
42,The loudest one in the room is the weakest one in the room.,
43,"Don’t fear failure. Fears being in the exact same place next year as you are, today.",
44,"The more I find myself, the more people I lose.",
45,"Own what’s yours, or else others will try to.",
46,You cannot spell awesoME without ME.,
47,Either you take me as I am or watch me leave.,
48,"Fuck what others think, do what makes you happy.",
49,"If you are reading this, you are basic.",
50,"I don’t need your approval, I got mine.",
,"Hated by many, wanted by plenty, disliked by some, confronted by none.",
,Don’t be blindly follow the masses. Sometimes the ‘m’ is silent.,
,You look like something I drew with my left hand.,
,Excuses don’t build muscles.,
,"I know I am a handful, that’s why you’ve got t",
,"Be savage, not average.",
,Let me file that under ‘I don’t care’,
,I always laugh when people try to hurt my feelings as if I have any.,
,Throwing shade like its sunny.,
,Life is full of disappointment and I just added you to the list.,
,"Life is all about the ups and downs, we call it squats.",
,"Contrary to popular belief, I know exactly what I am doing.",
,Being a true gentleman never goes out of fashion.,
,How do you know a man is thinking about his future? He buys two cases of beer instead of one.,
,Don’t try to study me; you are going to fail.,
,Don’t let part-time people stay in your life for the whole time.,
,"Abs are made in the gym, not the kitchen.",
,There’s no “we” in fries.,
