Sr. no,Caption,Rating
1,"Love your family! Because in the end, that’s all that really matters",
2,Family is forever ?,
3,Family is not an important thing. It’s everything.,
4,My Everything,
5,Family Is The Key To Everything,
6,"It’s always so hard to say goodbye to family when living abroad but our love is so strong, distance means so little.",
7,Where life begins and loves never ends,
8,"Love your family, be kind and serve one another. Make no room for regrets, tomorrow is not promised and today is short",
9,"Let’s walk together, hand in hand, day by day. Whatever weather, rain or hot. Just letting you know, you never be alone",
10,"No family is perfect. We argue, we fight & we even stop talking to each other at times, but in the end, family is family. The love will always be there ???????????",
11,The family is one of the nature’s masterpieces,
12,Your family is the best team you could ever have,
13,Love doesn’t need to be perfect. It just has to be a true,
14,"You don’t choose your family. They are God’s gift to you, as you are to them",
15,"The best thing in life are the people you love, the places you’ve been and the memories you’ve made along the way.",
16,"In time of test, family is best.",
17,"It’s not what we have in our life, but who we have in our life that matters.",
18,"You should never sacrifice three things: your family, your heart, or your dignity.",
19,The most important thing in the world is family and love.,
20,"Blood makes you related, loyalty makes you family.",
21,Friends ‘till the end.,
22,A true friend is one soul in two bodies.,
23,Your vibe attracts your tribe.,
24,Friends don’t let friends do silly things alone.,
25,I’ll even send you the photos I look bad in.,
26,"Besides chocolate, you’re my favorite.",
27,"Love is beautiful, friendship is better",
28,Every girl needs a boy best friend.,
29,No friendship is an accident.,
30,I love my crazy best friends.,
31,Life is better with true friends.,
32,Friends become our chosen family!,
33,God made us best friends because He knew our moms couldn’t handle us as sisters.,
34,"When I say I won’t tell anyone, my best friend doesn’t count.",
35,You are my best friend because I wouldn’t dare be this weird with anyone else.,
36,"Strangers think I’m quiet, my friends think I’m outgoing, but my best friends know that I’m completely insane.",
37,Friends knock on the door. Best friends walk into your house and start eating.,
38,We all have that one friend who never learned how to whisper.,
39,We will always be best friends until we are old and senile. Then we can be new friends.,
40,True friends don’t judge each other. They judge other people together.,
41,Best friends don’t care if your house is clean. They care if you have wine.,
42,"When my best friend and I first met, we were both like, “You’re really weird.”",
43,"I hope we’re friends until we die. Then, I hope we stay ghost friends so we can walk through walls and scare people.",
44,"Real friends get respected, treated, and loved like family.",
45,"Frankly, I can’t imagine not being around someone as amazing as you.",
46,"Best friend: one million memories, ten thousand inside jokes, one hundred shared secrets.",
47,Nothing could ever replace my best friend.,
48,Pizza and you are all I need.,
49,On our worst behavior.,
50,Let’s wander.,
,,
,,
